2005,,,,,,,,,,,
DIST,runDEM,DIST,run3DEM,,,,,,,,
0.037495186,577.9453125,0.037495186,583.7890625,,,5.84375,,,,,
0.037844281,573.5458984,0.037844281,579.6191406,,,6.07324218,,,,,
0.038193377,569.3759766,0.038193377,575.6035156,,,6.22753906,,,,,
0.038542472,566.3017578,0.038542472,571.9765625,,,5.67480469,,,,,
0.038891567,564.6728516,0.038891567,569.3789063,,,4.70605469,,,,,
0.039240662,560.9716797,0.039240662,565.9707031,,,4.99902343,,,,,
0.039589758,557.2099609,0.039589758,562.9355469,,,5.72558594,,,,,
0.039938853,553.28125,0.039938853,559.6582031,,,6.37695312,,,,,
0.040287948,548.9658203,0.040287948,556.5,,,7.53417969,,,,,
0.040637043,546.1699219,0.040637043,553.9277344,,,7.7578125,,,,,
0.040986139,542.3388672,0.040986139,550.4970703,,,8.15820312,,,,,
0.041335234,538.0986328,0.041335234,547.2099609,,,9.11132813,,,,,
0.041684329,535.109375,0.041684329,543.5527344,,,8.44335938,,,,,
0.042033424,531.6542969,0.042033424,540.9550781,,,9.30078124,,,,,
0.042382519,527.7294922,0.042382519,537.1220703,,,9.39257812,,,,,
0.042731615,523.8867188,0.042731615,533.109375,,,9.22265625,,,,,
0.04308071,520.8369141,0.04308071,529.3798828,,,8.54296875,,,,,
0.043429805,518.6630859,0.043429805,526.7226563,,,8.05957031,,,,,
0.0437789,515.9326172,0.0437789,523.2568359,,,7.32421875,,,,,
0.044127996,511.6796875,0.044127996,519.7744141,,,8.09472656,,,,,
0.044477091,508.6386719,0.044477091,516.7001953,,,8.06152343,,,,,
0.044826186,506.3740234,0.044826186,513.7861328,,,7.41210937,,,,,
0.045023404,503.7041016,0.045023404,511.2285156,,,7.52441406,,,,,
0.045301914,501.8125,0.045301914,508.3085938,,,6.49609375,,,,,
0.045580425,500.4882813,0.045580425,505.9316406,,,5.44335937,,,,,
0.045858936,499.3964844,0.045858936,504.2353516,,,4.83886718,,,,,
0.046137447,497.2070313,0.046137447,502.3642578,,,5.15722656,,,,,
0.046415958,496.3271484,0.046415958,499.9052734,,,3.578125,,,,,
0.046694468,495.6777344,0.046694468,497.0214844,,,1.34375,,,,,
0.046972979,494.9882813,0.046972979,495.9042969,,,0.91601563,,,,,
0.04725149,493.6220703,0.04725149,495.2685547,,,1.64648438,,,,,
0.047530001,491.7900391,0.047530001,493.2548828,,,1.46484375,,,,,
0.047808512,490.6699219,0.047808512,491.2412109,,,0.57128906,,,,,
0.048087022,488.8935547,0.048087022,490.0341797,,,1.140625,,,,,
