LINE_ID,ID,DIST,DIST_SURF,X,Y,Z,run3DEM
"0","93",0.0336551387,346.9716836100,-73.5893733940,-50.6954385610,628.3759765600,628.3759765600
"0","94",0.0340042339,352.2539101800,-73.5891618510,-50.6951608610,623.0937500000,623.0937500000
"0","95",0.0343533291,357.6533242600,-73.5889503090,-50.6948831610,617.6943359400,617.6943359400
"0","96",0.0347024244,360.2597695900,-73.5887387670,-50.6946054610,615.0878906200,615.0878906200
"0","97",0.0350515196,364.8798868000,-73.5885272240,-50.6943277610,610.4677734400,610.4677734400
"0","98",0.0354006148,369.3125040000,-73.5883156820,-50.6940500610,606.0351562500,606.0351562500
"0","99",0.0357497101,373.7099649500,-73.5881041390,-50.6937723610,601.6376953100,601.6376953100
"0","100",0.0360988053,376.7539102800,-73.5878925970,-50.6934946610,598.5937500000,598.5937500000
"0","101",0.0364479005,380.7822306100,-73.5876810540,-50.6932169610,594.5654296900,594.5654296900
"0","102",0.0367969958,385.0791056200,-73.5874695120,-50.6929392610,590.2685546900,590.2685546900
"0","103",0.0371460910,389.4209025100,-73.5872579700,-50.6926615610,585.9267578100,585.9267578100
"0","104",0.0374951862,391.5585978500,-73.5870464270,-50.6923838610,583.7890625000,583.7890625000
"0","105",0.0378442814,395.7285197400,-73.5868348850,-50.6921061610,579.6191406200,579.6191406200
"0","106",0.0381933767,399.7441447600,-73.5866233420,-50.6918284610,575.6035156200,575.6035156200
"0","107",0.0385424719,403.3710979000,-73.5864118000,-50.6915507610,571.9765625000,571.9765625000
"0","108",0.0388915671,405.9687541700,-73.5862002580,-50.6912730610,569.3789062500,569.3789062500
"0","109",0.0392406624,409.3769573200,-73.5859887150,-50.6909953610,565.9707031200,565.9707031200
"0","110",0.0395897576,412.4121135900,-73.5857771730,-50.6907176610,562.9355468800,562.9355468800
"0","111",0.0399388528,415.6894573500,-73.5855656300,-50.6904399610,559.6582031200,559.6582031200
"0","112",0.0402879481,418.8476605000,-73.5853540880,-50.6901622610,556.5000000000,556.5000000000
"0","113",0.0406370433,421.4199261500,-73.5851425460,-50.6898845610,553.9277343800,553.9277343800
"0","114",0.0409861385,424.8505902300,-73.5849310030,-50.6896068610,550.4970703100,550.4970703100
"0","115",0.0413352337,428.1376996200,-73.5847194610,-50.6893291610,547.2099609400,547.2099609400
"0","116",0.0416843290,431.7949262000,-73.5845079180,-50.6890514610,543.5527343800,543.5527343800
"0","117",0.0420334242,434.3925824700,-73.5842963760,-50.6887737610,540.9550781200,540.9550781200
"0","118",0.0423825194,438.2255903000,-73.5840848340,-50.6884960610,537.1220703100,537.1220703100
"0","119",0.0427316147,442.2382856300,-73.5838732910,-50.6882183610,533.1093750000,533.1093750000
