ID,DIST,DIST_SURF,X,Y,Z,runDEM
"138",0.0483655332,481.4765666400,-73.5822296920,-50.6830628780,486.8818359400,486.8818359400
"139",0.0486440440,484.0722697800,-73.5822084560,-50.6827851780,484.2861328100,484.2861328100
"140",0.0489225548,486.1953166700,-73.5821872200,-50.6825074780,482.1630859400,482.1630859400
"141",0.0492010656,488.0185588800,-73.5821659830,-50.6822297780,480.3398437500,480.3398437500
"142",0.0494795764,490.6259807700,-73.5821447470,-50.6819520780,477.7324218800,477.7324218800
"143",0.0497580872,492.9765667300,-73.5821235110,-50.6816743780,475.3818359400,475.3818359400
"144",0.0500365980,494.4316448800,-73.5821022740,-50.6813966780,473.9267578100,473.9267578100
"145",0.0503151089,496.1601605300,-73.5820810380,-50.6811189780,472.1982421900,472.1982421900
"146",0.0505936197,497.5927777400,-73.5820598020,-50.6808412780,470.7656250000,470.7656250000
"147",0.0508721305,499.1562543300,-73.5820385650,-50.6805635780,469.2021484400,469.2021484400
"148",0.0511506413,500.9628949700,-73.5820173290,-50.6802858780,467.3955078100,467.3955078100
"149",0.0514291521,502.6914106200,-73.5819960930,-50.6800081780,465.6669921900,465.6669921900
"150",0.0517076629,504.8164106400,-73.5819748560,-50.6797304780,463.5419921900,463.5419921900
"151",0.0519861737,506.1113325400,-73.5819536200,-50.6794527780,462.2470703100,462.2470703100
"152",0.0522646845,510.1738325500,-73.5819323840,-50.6791750780,458.1845703100,458.1845703100
"153",0.0525431953,512.3867232000,-73.5819111470,-50.6788973780,455.9716796900,455.9716796900
"154",0.0528217061,513.3828169900,-73.5818899110,-50.6786196780,454.9755859400,454.9755859400
"155",0.0529941611,513.3829894400,-73.5818767620,-50.6784477250,454.9755859400,454.9755859400
"156",0.0532970826,513.3888566400,-73.5821544620,-50.6783267120,454.9697265600,454.9697265600
"157",0.0536000042,514.4376848100,-73.5824321620,-50.6782056990,456.0185546900,456.0185546900
"158",0.0539029257,515.8810442200,-73.5827098620,-50.6780846850,454.5751953100,454.5751953100
"159",0.0542058473,518.5939348600,-73.5829875620,-50.6779636720,457.2880859400,457.2880859400
"160",0.0545087688,521.7472551800,-73.5832652620,-50.6778426590,454.1347656200,454.1347656200
"161",0.0548116904,521.8595602800,-73.5835429620,-50.6777216460,454.0224609400,454.0224609400
"162",0.0551146119,527.5119040400,-73.5838206620,-50.6776006330,459.6748046900,459.6748046900
"163",0.0554175335,530.5548728000,-73.5840983620,-50.6774796200,456.6318359400,456.6318359400
"164",0.0557204550,536.6701071900,-73.5843760620,-50.6773586070,450.5166015600,450.5166015600
"165",0.0560233766,545.2423728200,-73.5846537620,-50.6772375940,441.9443359400,441.9443359400
"166",0.0563262981,545.9240135100,-73.5849314620,-50.6771165800,441.2626953100,441.2626953100
